Month,Town,FlatType,Block,StreetName,StoreyRange,FloorAreaSqm,FlatModel,LeaseCommenceDate,RemainingLease,ResalePrice
2024-10,BUKIT BATOK,5 ROOM,191,BT BATOK WEST AVE 6,19 TO 21,118,Improved,1997,71 years 07 months,783000
2024-10,BUKIT BATOK,5 ROOM,191,BT BATOK WEST AVE 6,13 TO 15,120,Improved,1997,71 years 07 months,742888
2024-10,BUKIT BATOK,5 ROOM,288A,BT BATOK ST 25,07 TO 09,122,Improved,1997,72 years 03 months,738000
2024-10,BUKIT BATOK,5 ROOM,392,BT BATOK WEST AVE 5,13 TO 15,118,Improved,2004,79 years 02 months,730000
2024-10,BUKIT BATOK,5 ROOM,452A,BT BATOK WEST AVE 6,01 TO 03,115,Improved,2019,93 years 06 months,715000
2024-10,BUKIT BATOK,5 ROOM,440D,BT BATOK WEST AVE 8,01 TO 03,112,Improved,2019,93 years 06 months,700000
2024-10,BUKIT BATOK,5 ROOM,388,BT BATOK WEST AVE 5,04 TO 06,118,Improved,2005,79 years 04 months,680000
2024-10,BUKIT BATOK,5 ROOM,329,BT BATOK ST 33,10 TO 12,122,Improved,1986,61 years 03 months,640000
2024-10,BUKIT BATOK,5 ROOM,419,BT BATOK WEST AVE 2,07 TO 09,120,Improved,1986,61 years,640000
2024-11,BUKIT BATOK,5 ROOM,442A,BT BATOK WEST AVE 8,13 TO 15,112,Improved,2019,93 years 06 months,785000
